0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-9.621415736258749741e-07,3.377214554190521930e-08,-5.332913727134814545e-07,-1.037386473557035631e-04,-3.964385923571967017e-06
-2.317946586483864266e-06,5.685653148411421344e-08,-4.716560335136267359e-07,-2.776976562063623952e-04,-7.109740991528980570e-06
-4.137169019603137774e-06,7.287209288821242860e-08,1.856044037335057086e-07,-5.153627495602641209e-04,-9.892599770361428709e-06
-6.358026488645259848e-06,8.546421230107549695e-08,1.270121620082226141e-06,-8.159054235544352471e-04,-1.265098575169143740e-05
-9.011861291145326650e-06,9.589827664929789490e-08,2.641110729146241364e-06,-1.179494586639997546e-03,-1.540753879986204671e-05
-1.209756435162475115e-05,1.047395241795390001e-07,4.209755747766235747e-06,-1.606586820113912019e-03,-1.815110089325121167e-05
-1.561455723447135779e-05,1.121846870960327024e-07,5.924454686405366185e-06,-2.097714281878879268e-03,-2.085776246334593620e-05
-1.954726424221026038e-05,1.186875683211043719e-07,7.759061041668301783e-06,-2.653472312520503001e-03,-2.356732650923510161e-05
-2.389220838897145453e-05,1.244667410438309232e-07,9.700293450598380354e-06,-3.274480242770000035e-03,-2.629752682944507517e-05
-2.862898286355983459e-05,1.294920092491068695e-07,1.174263698337257340e-05,-3.961418682263368601e-03,-2.904493466292687014e-05
-3.371765761005155306e-05,1.340648640101746253e-07,1.388735628639464138e-05,-4.715034244668580427e-03,-3.186255976448240033e-05
-3.927554863812344988e-05,1.452918848842382385e-07,1.525554374980911052e-05,-5.509329948854915955e-03,-3.475625539390068643e-05
-4.538754306758310174e-05,1.625021650358170243e-07,1.576222435759972113e-05,-6.309150132662416990e-03,-3.745832764779566057e-05
-5.169266558448512908e-05,1.832947064389833946e-07,1.557597059291685184e-05,-7.092774725353892008e-03,-3.986827851983868761e-05
-5.798002131790724157e-05,2.063264850592983446e-07,1.489939193902538780e-05,-7.846084638700030062e-03,-4.203579367616472703e-05
-6.412288071429350699e-05,2.313404762057985776e-07,1.391351088176864920e-05,-8.560316933001728065e-03,-4.412219358341735103e-05
-7.003247388732470897e-05,2.575292233645468779e-07,1.275802270886699187e-05,-9.230542632063451491e-03,-4.617181624069571587e-05
-7.565492549180801850e-05,2.842124793847689726e-07,1.153709499860009479e-05,-9.854528546486236024e-03,-4.820692217249934497e-05
-8.096137130599148678e-05,3.108971750803378266e-07,1.032481046055882751e-05,-1.043191348252694647e-02,-5.024207899341520705e-05
-8.594044791820417567e-05,3.372503845808705211e-07,9.171176123068166945e-06,-1.096360691666102040e-02,-5.228728808933351949e-05
-9.059280611364559142e-05,3.630630586069009582e-07,8.107763771625357314e-06,-1.145135216605647384e-02,-5.434930454399360431e-05
-9.492712917053989976e-05,3.882177519234827125e-07,7.152501118906324991e-06,-1.189741128533300385e-02,-5.643249515193972501e-05
-9.895726169940995338e-05,4.126625478374728225e-07,6.313512968108893939e-06,-1.230433984590313147e-02,-5.853947006458698265e-05
-1.027001557526755030e-04,4.363909117054650763e-07,5.592090275904764788e-06,-1.267482789366298004e-02,-6.067155947507893833e-05
-1.061744166272912774e-04,4.594265631138719378e-07,4.984926982610171361e-06,-1.301158945784598731e-02,-6.282917431400744668e-05
-1.093992872269159311e-04,4.818123619135667890e-07,4.485771434205348559e-06,-1.331728752052064452e-02,-6.501207836083662539e-05
-1.123939518600608435e-04,5.036022995210072242e-07,4.086623744857722209e-06,-1.359448474130887582e-02,-6.721959242254444647e-05
-1.151770715659162234e-04,5.248558399549189480e-07,3.778588150785337736e-06,-1.384561275601157125e-02,-6.945074644484997570e-05
-1.177664862209245358e-04,5.456340101096864626e-07,3.552467198970573649e-06,-1.407295474832982556e-02,-7.170439181834087794e-05
